WKT,ID,NOMBRE,CALLE1,CALLE2,INTERSEC,LIN_SENT_N,LIN_SENT_S,METROBUS,NOM_SENTID,Observac,INAUGURA,FECH_INAU
"POINT (-58.5272792865067 -34.6391909329666)","347",Ctro. Transbordo Liniers,RIVADAVIA AV.,,Entre José León Suárez y Montiel,Sentido Oeste: 2 - 4 - 182,,Centro de Transbordo Liniers,Ctro. Transbordo Liniers - Sentido Provincia de Buenos Aires,,Noviembre 2018,2018-11
"POINT (-58.5268653061961 -34.639156938115)","348",Ctro. Transbordo Liniers,RIVADAVIA AV.,,Entre José León Suárez y Montiel,Sentido Oeste: 136 - 153 - 163,,Centro de Transbordo Liniers,Ctro. Transbordo Liniers - Sentido Provincia de Buenos Aires,,Noviembre 2018,2018-11
"POINT (-58.5260018611428 -34.6390840749954)","349",Ctro. Transbordo Liniers,RIVADAVIA AV.,,Entre Montiel y Carhué,Sentido Oeste: 1 - 88 - 96,,Centro de Transbordo Liniers,Ctro. Transbordo Liniers - Sentido Provincia de Buenos Aires,,Noviembre 2018,2018-11
"POINT (-58.4303054238911 -34.5821231938721)","370",Guatemala,JUSTO JUAN B.,GUATEMALA,JUSTO JUAN B. & GUATEMALA,"166",,Metrobus Juan B. Justo,Guatemala - Sentido Pacífico,,Mayo 2011,2011-05
"POINT (-58.4348700068493 -34.5854907871515)","369",Honduras,JUSTO JUAN B.,HONDURAS,JUSTO JUAN B. & HONDURAS,"166",,Metrobus Juan B. Justo,Honduras - Sentido Pacífico,,Mayo 2011,2011-05
"POINT (-58.4408587375004 -34.5924088029341)","368",Aguirre,JUSTO JUAN B.,AGUIRRE,JUSTO JUAN B. & AGUIRRE,34 - 166,,Metrobus Juan B. Justo,Aguirre - Sentido Pacífico,,Mayo 2011,2011-05
"POINT (-58.4444762604848 -34.5949100058926)","367",Av. Corrientes,JUSTO JUAN B.,CORRIENTES,JUSTO JUAN B. & CORRIENTES,34 - 166,,Metrobus Juan B. Justo,Av. Corrientes - Sentido Pacífico,,Mayo 2011,2011-05
"POINT (-58.4478110416948 -34.5972104829495)","366",Murillo,JUSTO JUAN B.,MURILLO,JUSTO JUAN B. & MURILLO,34 - 166,,Metrobus Juan B. Justo,Murillo - Sentido Pacífico,,Mayo 2011,2011-05
"POINT (-58.4522819565776 -34.600306617871)","365",Av. Honorio Pueyrredón,JUSTO JUAN B.,PUEYRREDON HONORIO DR.,JUSTO JUAN B. & PUEYRREDON HONORIO DR.,34 - 109 - 166,,Metrobus Juan B. Justo,Av. Honorio Pueyrredón - Sentido Pacífico,,Mayo 2011,2011-05
"POINT (-58.4587059437455 -34.6046863999987)","364",Av. San Martín,JUSTO JUAN B.,SAN MARTIN AV.,JUSTO JUAN B. & SAN MARTIN AV.,34 - 109 - 110 - 166,,Metrobus Juan B. Justo,Av. San Martín - Sentido Pacífico,,Mayo 2011,2011-05
"POINT (-58.4629269796362 -34.6075514620554)","363",Av. Donato Alvarez,JUSTO JUAN B.,ALVAREZ DONATO Tte. Gral.,JUSTO JUAN B. & ALVAREZ DONATO Tte. Gral.,34 - 110 - 166,,Metrobus Juan B. Justo,Av. Donato Alvarez - Sentido Pacífico,,Mayo 2011,2011-05
"POINT (-58.4679974849145 -34.611419258083)","362",Boyaca,JUSTO JUAN B.,BOYACA,JUSTO JUAN B. & BOYACA,34 - 110 - 166,,Metrobus Juan B. Justo,Boyaca - Sentido Pacífico,,Mayo 2011,2011-05
"POINT (-58.4729106969869 -34.6147853968716)","11",Artigas,JUSTO JUAN B.,ARTIGAS JOSE GERVASIO GRAL,JUSTO JUAN B. & ARTIGAS JOSE GERVASIO GRAL,,34 - 166,Metrobus Juan B. Justo,Artigas - Sentido Liniers,,Mayo 2011,2011-05
"POINT (-58.4762432142298 -34.6183220170099)","360",Av. Nazca,JUSTO JUAN B.,NAZCA,JUSTO JUAN B. & NAZCA,34 - 166,,Metrobus Juan B. Justo,Av. Nazca - Sentido Pacífico,,Mayo 2011,2011-05
"POINT (-58.4806575176653 -34.6219203472854)","9",Concordia,JUSTO JUAN B.,CONCORDIA,JUSTO JUAN B. & CONCORDIA,,34 - 166,Metrobus Juan B. Justo,Concordia - Sentido Liniers,,Mayo 2011,2011-05
"POINT (-58.4857328059313 -34.6250520658384)","8",Chivilcoy,JUSTO JUAN B.,CHIVILCOY,JUSTO JUAN B. & CHIVILCOY,,34 - 166,Metrobus Juan B. Justo,Chivilcoy - Sentido Liniers,,Mayo 2011,2011-05
"POINT (-58.4912203315477 -34.6271211512332)","357",Av. Segurola,JUSTO JUAN B.,SEGUROLA,JUSTO JUAN B. & SEGUROLA,34 - 166,,Metrobus Juan B. Justo,Av. Segurola - Sentido Pacífico,,Mayo 2011,2011-05
"POINT (-58.4947440966694 -34.6294396371731)","6",Carrasco,JUSTO JUAN B.,CARRASCO,JUSTO JUAN B. & CARRASCO,,34 - 99 - 166 - 172,Metrobus Juan B. Justo,Carrasco - Sentido Liniers,,Mayo 2011,2011-05
"POINT (-58.5069610912273 -34.6344114617872)","352",Cortina,JUSTO JUAN B.,CORTINA,JUSTO JUAN B. & CORTINA,34 - 99 - 166 - 172,,Metrobus Juan B. Justo,Cortina - Sentido Pacífico,,Mayo 2011,2011-05
"POINT (-58.5136628578566 -34.6335260683514)","3",Polideportivo Velez Sarsfield,JUSTO JUAN B.,GARCIA JUAN AGUSTIN,JUSTO JUAN B. & GARCIA JUAN AGUSTIN,,34 - 99 - 166 - 172,Metrobus Juan B. Justo,Polideportivo Velez Sarsfield - Sentido Liniers,,Mayo 2011,2011-05
"POINT (-58.5194846639908 -34.6337182084163)","350",Velez Sarsfield,JUSTO JUAN B.,ALVAREZ JONTE AV,JUSTO JUAN B. & ALVAREZ JONTE AV,34 - 99 - 166 - 172,,Metrobus Juan B. Justo,Velez Sarsfield - Sentido Pacífico,,Mayo 2011,2011-05
"POINT (-58.5014333808285 -34.632415508763)","372",Av. Lope de Vega,JUSTO JUAN B.,LOPE DE VEGA,JUSTO JUAN B. & LOPE DE VEGA,34 - 99 - 166 - 172,,Metrobus Juan B. Justo,Av. Lope de Vega - Sentido Pacífico,,Mayo 2011,2011-05
"POINT (-58.5005971581224 -34.6319881694258)","373",Av. Lope de Vega,JUSTO JUAN B.,LOPE DE VEGA,JUSTO JUAN B. & LOPE DE VEGA,,34 - 99 - 166 - 172,Metrobus Juan B. Justo,Av. Lope de Vega - Sentido Liniers,,Mayo 2011,2011-05
"POINT (-58.4229624668111 -34.5801278898518)","377",Uriarte,SANTA FE AV,,Entre Uriarte y Darregueyra,12 - 95 - 108 - 111 - 118 - 194,59 - 60 - 93 - 108 - 118,Centro de Transbordo Pacífico,Uriarte,,Noviembre 2016,2016-11
